Code 代码	Abbrev 产品缩写	Description 说明	Support Wallet 支持钱包	LOTT 彩票	LIVE 真人	RNG 电子	FISH 捕鱼	PVP 棋牌	SPORT 体育	ESPORT电竞
241	VA	Victory Ark	TRANSFER			RNG/电子	FISH/捕鱼			
242	EZG	Eazy Gaming	TRANSFER			RNG/电子				
243	TP	TOP Player	TRANSFER			RNG/电子	FISH/捕鱼			
244	7X	7X Games	TRANSFER					PVP/棋牌		
247	RG	RG Slot	TRANSFER			RNG/电子		PVP/棋牌		
248	GB9	Game Bài9	TRANSFER					PVP/棋牌		
249	5G	5G	TRANSFER			RNG/电子				
251	EGT	Euro Games Technology Digital	SEAMLESS			RNG/电子				
252	MAHA	MAHA	TRANSFER			RNG/电子				
253	TGC	TG GENTING CASINO	TRANSFER		LIVE/真人					
254	BSP	Baison Poker	TRANSFER			RNG/电子	FISH/捕鱼	PVP/棋牌		
257	AW	AceWin	TRANSFER			RNG/电子	FISH/捕鱼			
258	WJ	W Casino	TRANSFER		LIVE/真人					
259	EP	Evoplay	TRANSFER		LIVE/真人	RNG/电子				
260	TPG	Triple Profits Games	TRANSFER			RNG/电子	FISH/捕鱼			
261	AIL	AI LIVE CASINO	TRANSFER		LIVE/真人			PVP/棋牌		
266	QQ	QQ PK	TRANSFER					PVP/棋牌		
269	2J	2J Games	TRANSFER			RNG/电子	FISH/捕鱼			
270	BBR	Barbara	SEAMLESS			RNG/电子				
271	TB	Turbo Games	TRANSFER			RNG/电子				
272	MT	MT 真人	TRANSFER		LIVE/真人					
273	RP	Rich Paradise	TRANSFER			RNG/电子				
275	168	168games	TRANSFER			RNG/电子				
276	AVT	Aviator	SEAMLESS			RNG/电子				
278	ID	iDealGaming	TRANSFER			RNG/电子				
282	WS	WinSlot	TRANSFER			RNG/电子				
285	1BET	1BET	TRANSFER						SPORTS/体育	
293	VPL	VPLUS	TRANSFER			RNG/电子	FISH/捕鱼			
384	TCG_SEA	TCG_SEA 东南亚彩	TRANSFER / SEAMLESS	ELOTT/盘口彩票						
420	TCG_LOTTO_VN	TCG_LOTTO_VN 越南彩	TRANSFER / SEAMLESS	LOTT/彩票						
460	TCG_LIVE	TCG 直播(暂停接入)	TRANSFER / SEAMLESS	LOTT/彩票						
